birga_x,valin_x,valout_x,rates_x,birga_y,valin_y,valout_y,rates_y,PROFIT,PERCENT
alfa,BTC,USD,"6,798.64",alfa,USD,BTC,"6,814.32",15.68,0.23%
alfa,BTC,USD,"6,798.64",live,USD,BTC,"6,992.52",193.88,2.77%
alfa,BTC,USD,"6,798.64",hot,USD,BTC,"7,232.83",434.18,6.00%
live,BTC,USD,"6,945.25",alfa,USD,BTC,"6,814.32",-130.93,-1.92%
live,BTC,USD,"6,945.25",live,USD,BTC,"6,992.52",47.27,0.68%
live,BTC,USD,"6,945.25",hot,USD,BTC,"7,232.83",287.58,3.98%
live,LTC,USD,41.73,live,USD,LTC,42.05,0.32,0.76%
live,ETH,USD,160.38,live,USD,ETH,161.96,1.58,0.98%
live,XRP,USD,0.19,live,USD,XRP,0.19,0.00,2.17%
live,USDT,USD,1.02,live,USD,USDT,1.04,0.02,1.61%
hot,BTC,USD,"6,951.28",alfa,USD,BTC,"6,814.32",-136.96,-2.01%
hot,BTC,USD,"6,951.28",live,USD,BTC,"6,992.52",41.24,0.59%
hot,BTC,USD,"6,951.28",hot,USD,BTC,"7,232.83",281.55,3.89%
alfa,USD,BTC,"6,814.32",alfa,BTC,USD,"6,798.64",-15.68,-0.23%
alfa,USD,BTC,"6,814.32",live,BTC,USD,"6,945.25",130.93,1.89%
alfa,USD,BTC,"6,814.32",hot,BTC,USD,"6,951.28",136.96,1.97%
live,USD,BTC,"6,992.52",alfa,BTC,USD,"6,798.64",-193.88,-2.85%
live,USD,BTC,"6,992.52",live,BTC,USD,"6,945.25",-47.27,-0.68%
live,USD,BTC,"6,992.52",hot,BTC,USD,"6,951.28",-41.24,-0.59%
live,USDT,BTC,"6,863.33",live,BTC,USDT,"6,746.12",-117.21,-1.74%
live,XRP,BTC,0.00,live,BTC,XRP,0.00,0.00,0.04%
live,ETH,BTC,0.02,live,BTC,ETH,0.02,0.00,0.21%
live,LTC,BTC,0.01,live,BTC,LTC,0.01,0.00,0.76%
live,BCH,BTC,0.03,live,BTC,BCH,0.03,0.00,1.21%
live,ZEC,BTC,0.01,live,BTC,ZEC,0.01,0.00,0.60%
hot,USD,BTC,"7,232.83",alfa,BTC,USD,"6,798.64",-434.18,-6.39%
hot,USD,BTC,"7,232.83",live,BTC,USD,"6,945.25",-287.58,-4.14%
hot,USD,BTC,"7,232.83",hot,BTC,USD,"6,951.28",-281.55,-4.05%
live,USD,LTC,42.05,live,LTC,USD,41.73,-0.32,-0.77%
live,BTC,LTC,0.01,live,LTC,BTC,0.01,-0.00,-0.77%
live,USD,ETH,161.96,live,ETH,USD,160.38,-1.58,-0.98%
live,USDT,ETH,160.29,live,ETH,USDT,150.27,-10.02,-6.67%
live,BTC,ETH,0.02,live,ETH,BTC,0.02,-0.00,-0.22%
live,USD,XRP,0.19,live,XRP,USD,0.19,-0.00,-2.22%
live,BTC,XRP,0.00,live,XRP,BTC,0.00,-0.00,-0.04%
live,USD,USDT,1.04,live,USDT,USD,1.02,-0.02,-1.63%
live,BTC,USDT,"6,746.12",live,USDT,BTC,"6,863.33",117.21,1.71%
live,ETH,USDT,150.27,live,USDT,ETH,160.29,10.02,6.25%
live,BTC,BCH,0.03,live,BCH,BTC,0.03,-0.00,-1.22%
live,BTC,ZEC,0.01,live,ZEC,BTC,0.01,-0.00,-0.60%
alfa,USD,BTC,"6,814.32",live,BTC,USDT,"6,746.12",-68.20,-1.01%
live,USD,BTC,"6,992.52",live,BTC,USDT,"6,746.12",-246.40,-3.65%
hot,USD,BTC,"7,232.83",live,BTC,USDT,"6,746.12",-486.71,-7.21%
live,USD,ETH,161.96,live,ETH,USDT,150.27,-11.69,-7.78%
live,USDT,BTC,"6,863.33",alfa,BTC,USD,"6,798.64",-64.69,-0.95%
live,USDT,BTC,"6,863.33",live,BTC,USD,"6,945.25",81.92,1.18%
live,USDT,BTC,"6,863.33",hot,BTC,USD,"6,951.28",87.95,1.27%
live,USDT,ETH,160.29,live,ETH,USD,160.38,0.09,0.06%
